epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5762.32,1.0485,1.06256,1.20051,0.93022,0.70501,0.82839,0.67357,0.75039,0.76808,1.0167,0.0011882,0.0011882,0.0011882
43,5902.58,1.07403,1.04623,1.21259,0.88957,0.73583,0.85729,0.67916,0.73838,0.75636,1.01831,0.0011684,0.0011684,0.0011684
44,6041.49,1.00064,1.00106,1.16539,0.84761,0.72202,0.82626,0.67644,0.70809,0.75546,1.01527,0.0011486,0.0011486,0.0011486
45,6181.96,1.00456,0.95892,1.16615,0.8819,0.71802,0.84042,0.70439,0.66346,0.75657,0.98542,0.0011288,0.0011288,0.0011288
46,6322.55,1.02227,0.9711,1.15667,0.92973,0.76333,0.86625,0.707,0.6954,0.733,0.99316,0.001109,0.001109,0.001109
47,6463.26,0.97299,0.93108,1.14293,0.95721,0.75286,0.87678,0.7165,0.72246,0.6997,1.00311,0.0010892,0.0010892,0.0010892
48,6601.9,1.02379,0.97267,1.17397,0.88921,0.75,0.87682,0.69483,0.80921,0.75385,1.02111,0.0010694,0.0010694,0.0010694
49,6741.64,0.9878,0.97149,1.16669,0.98632,0.75,0.89325,0.72277,0.75056,0.69078,0.98668,0.0010496,0.0010496,0.0010496
50,6880.53,0.96985,0.96474,1.14816,0.85341,0.81172,0.87948,0.70367,0.74742,0.70199,0.98486,0.0010298,0.0010298,0.0010298
51,7021.25,0.95445,0.91886,1.12589,0.84047,0.75984,0.84219,0.66593,0.79225,0.76552,1.01311,0.00101,0.00101,0.00101
52,7160.79,0.95901,0.8989,1.13121,0.86004,0.75481,0.86606,0.69301,0.74161,0.76279,1.00138,0.0009902,0.0009902,0.0009902
53,7301.33,0.95505,0.90185,1.13488,0.87782,0.79327,0.88323,0.74667,0.59335,0.67139,0.96116,0.0009704,0.0009704,0.0009704
54,7443.17,0.94669,0.92125,1.13649,0.89615,0.70528,0.85823,0.70702,0.65845,0.76409,0.97808,0.0009506,0.0009506,0.0009506
55,7583.78,0.95726,0.9028,1.12574,0.9049,0.77769,0.89284,0.72239,0.68138,0.68548,0.98019,0.0009308,0.0009308,0.0009308
56,7723.52,0.93757,0.8822,1.13395,0.89686,0.82692,0.91719,0.76879,0.63995,0.61765,0.94933,0.000911,0.000911,0.000911
57,7863.01,0.90532,0.86838,1.10312,0.8988,0.8113,0.9034,0.73339,0.71843,0.66603,0.97279,0.0008912,0.0008912,0.0008912
58,8001.14,0.9356,0.89198,1.12973,0.93413,0.81811,0.92542,0.73778,0.75818,0.59256,0.98142,0.0008714,0.0008714,0.0008714
59,8138.74,0.88505,0.84961,1.0992,0.92743,0.8125,0.92407,0.74213,0.71652,0.58177,0.97798,0.0008516,0.0008516,0.0008516
60,8277.35,0.92163,0.85348,1.12297,0.94205,0.83654,0.93115,0.74655,0.73591,0.58418,0.98246,0.0008318,0.0008318,0.0008318
61,8417.37,0.93907,0.84065,1.12524,0.92618,0.84451,0.92775,0.78061,0.61737,0.56003,0.94256,0.000812,0.000812,0.000812
62,8559.24,0.91268,0.83482,1.11562,0.94748,0.77404,0.91476,0.75363,0.63858,0.58612,0.95904,0.0007922,0.0007922,0.0007922
63,8698.2,0.88551,0.81469,1.09576,0.92662,0.78925,0.89867,0.74136,0.63867,0.5934,0.95436,0.0007724,0.0007724,0.0007724
64,8840.44,0.90098,0.80524,1.10365,0.93318,0.80577,0.92119,0.75303,0.66737,0.55649,0.96883,0.0007526,0.0007526,0.0007526
65,8979.1,0.90571,0.79192,1.10589,0.8972,0.88118,0.94008,0.74524,0.7479,0.54677,0.99583,0.0007328,0.0007328,0.0007328
66,9123.4,0.86418,0.82567,1.10151,0.93085,0.84127,0.92381,0.77144,0.61948,0.56541,0.95529,0.000713,0.000713,0.000713
67,9268.02,0.85884,0.78942,1.0718,0.92025,0.87981,0.94338,0.80571,0.57395,0.51884,0.92692,0.0006932,0.0006932,0.0006932
68,9413.55,0.88437,0.77457,1.09333,0.93415,0.875,0.95005,0.78427,0.66654,0.5228,0.95023,0.0006734,0.0006734,0.0006734
69,9559.37,0.87458,0.8015,1.09552,0.9571,0.85809,0.94765,0.80843,0.56233,0.50066,0.93415,0.0006536,0.0006536,0.0006536
70,9704.08,0.87821,0.81189,1.09627,0.89626,0.87226,0.95381,0.79018,0.63267,0.52676,0.94412,0.0006338,0.0006338,0.0006338
71,9850.57,0.86729,0.79618,1.08581,0.90594,0.87979,0.94549,0.82337,0.52842,0.51758,0.92126,0.000614,0.000614,0.000614
72,9995.25,0.82805,0.77068,1.06912,0.93241,0.86225,0.94461,0.80163,0.57951,0.48878,0.92483,0.0005942,0.0005942,0.0005942
73,10138,0.8205,0.74477,1.07766,0.92489,0.88806,0.95808,0.83386,0.50751,0.46794,0.9006,0.0005744,0.0005744,0.0005744
74,10282.9,0.79036,0.70126,1.05398,0.91206,0.85577,0.94536,0.78549,0.64418,0.48993,0.93438,0.0005546,0.0005546,0.0005546
75,10431.2,0.87727,0.76379,1.10381,0.93315,0.88462,0.95718,0.7603,0.72173,0.51069,0.97524,0.0005348,0.0005348,0.0005348
76,10574,0.83853,0.74761,1.07843,0.93995,0.83173,0.92558,0.79773,0.54666,0.57163,0.92452,0.000515,0.000515,0.000515
77,10718.5,0.80306,0.72558,1.04839,0.96074,0.82346,0.93158,0.79872,0.5471,0.50746,0.9149,0.0004952,0.0004952,0.0004952
78,10862.5,0.78435,0.69017,1.03665,0.93977,0.89423,0.95954,0.81767,0.57508,0.44834,0.91535,0.0004754,0.0004754,0.0004754
79,11013,0.82858,0.71357,1.06238,0.96462,0.87019,0.96474,0.79699,0.63956,0.46666,0.93584,0.0004556,0.0004556,0.0004556
80,11157.4,0.79375,0.69069,1.04697,0.95954,0.91219,0.97367,0.8213,0.58577,0.42433,0.91806,0.0004358,0.0004358,0.0004358
81,11304.2,0.80093,0.69572,1.05663,0.96444,0.90865,0.97422,0.81713,0.57445,0.44011,0.91464,0.000416,0.000416,0.000416
82,11449.3,0.79025,0.6986,1.04664,0.92893,0.92308,0.97128,0.8332,0.5511,0.4353,0.90741,0.0003962,0.0003962,0.0003962
